TrialCount	TrialType	ItiDuration	TactorDuration	TactorDelay	ResponseMaxDuration	StimMovementDuration	RT
1	VisualCatch	0.5	0.35	1.625	0.5	2.666667	2.142657
2	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	2.06081
3	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.8630171
4	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.976618
5	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.893076
6	Tactile	0.5	0.35	1.95	0.5	2.666667	2.756111
7	Visual	0.5	0.35	0.325	0.5	2.666667	null
8	Visual	0.5	0.35	0.975	0.5	2.666667	null
9	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.7372799
10	Visual	0.5	0.35	0.65	0.5	2.666667	null
11	Tactile	0.5	0.35	0.65	0.5	2.666667	1.167564
12	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.476025
13	Tactile	0.5	0.35	1.3	0.5	2.666667	2.255226
14	Visual	0.5	0.35	1.625	0.5	2.666667	null
15	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.655727
16	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.378521
17	Tactile	0.5	0.35	0.65	0.5	2.666667	1.364151
18	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	1.057713
19	Tactile	0.5	0.35	1.625	0.5	2.666667	2.241325
20	VisualCatch	0.5	0.35	0.975	0.5	2.666667	null
21	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.335617
22	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.697395
23	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.684425
24	Visual	0.5	0.35	0.325	0.5	2.666667	null
25	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.962143
26	Tactile	0.5	0.35	0.325	0.5	2.666667	0.7237015
27	Tactile	0.5	0.35	1.3	0.5	2.666667	1.906464
28	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.307549
29	Tactile	0.5	0.35	1.3	0.5	2.666667	1.725739
30	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.600769
31	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.586777
32	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.392029
33	Tactile	0.5	0.35	1.625	0.5	2.666667	1.879494
34	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.212418
35	Tactile	0.5	0.35	0.325	0.5	2.666667	0.7106171
