TrialCount	TrialType	ItiDuration	TactorDuration	TactorDelay	ResponseMaxDuration	StimMovementDuration	RT
92	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	1.558746
93	VisualCatch	0.5	0.35	1.95	0.5	2.666667	null
94	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.878815
95	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.586823
96	Tactile	0.5	0.35	1.625	0.5	2.666667	2.088409
97	VisualCatch	0.5	0.35	0.325	0.5	2.666667	null
98	Tactile	0.5	0.35	0.325	0.5	2.666667	0.7377625
99	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.24118
100	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.614838
101	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.87912
102	Visual	0.5	0.35	1.95	0.5	2.666667	null
103	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	1.072083
104	VisualCatch	0.5	0.35	0.975	0.5	2.666667	null
105	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.558655
106	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.199554
107	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.157196
108	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.615143
109	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.851654
110	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.8347168
111	Tactile	0.5	0.35	1.625	0.5	2.666667	1.990662
112	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.935028
113	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.7239075
114	Tactile	0.5	0.35	1.625	0.5	2.666667	2.10257
115	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.238739
116	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	0.9743652
117	VisualCatch	0.5	0.35	1.625	0.5	2.666667	null
118	Visual	0.5	0.35	0.975	0.5	2.666667	null
119	Tactile	0.5	0.35	1.625	0.5	2.666667	2.129456
120	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.6676636
121	VisualCatch	0.5	0.35	1.625	0.5	2.666667	null
122	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.961884
123	VisualCatch	0.5	0.35	1.625	0.5	2.666667	null
124	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.280609
125	Visual	0.5	0.35	1.95	0.5	2.666667	null
126	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.364075
127	Visual	0.5	0.35	1.95	0.5	2.666667	null
128	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.199524
129	Visual	0.5	0.35	1.3	0.5	2.666667	null
130	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.684387
131	Tactile	0.5	0.35	1.95	0.5	2.666667	2.686768
132	Tactile	0.5	0.35	0.65	0.5	2.666667	1.030701
133	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.7519531
134	Visual	0.5	0.35	1.625	0.5	2.666667	null
135	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	0.9046631
136	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.893402
137	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.6961975
138	Tactile	0.5	0.35	1.95	0.5	2.666667	2.422791
139	Tactile	0.5	0.35	1.95	0.5	2.666667	2.338959
140	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	1.030762
141	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	0.9328613
142	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.823181
143	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.837158
144	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.544983
