TrialCount	TrialType	ItiDuration	TactorDuration	TactorDelay	ResponseMaxDuration	StimMovementDuration	RT
1	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.950459
2	Tactile	0.5	0.35	1.3	0.5	2.666667	2.590977
3	Tactile	0.5	0.35	0.975	0.5	2.666667	1.545605
4	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.280212
5	Visual	0.5	0.35	1.3	0.5	2.666667	null
6	VisualCatch	0.5	0.35	0.325	0.5	2.666667	null
7	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.628681
8	Tactile	0.5	0.35	1.3	0.5	2.666667	2.004822
9	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.7659016
10	VisuoTactile	0.5	0.35	1.3	0.5	2.666666	1.572163
11	Tactile	0.5	0.35	1.3	0.5	2.666667	1.782322
12	Visual	0.5	0.35	1.3	0.5	2.666667	null
13	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.6813202
14	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	0.9880219
15	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.949097
16	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.879795
17	Tactile	0.5	0.35	1.3	0.5	2.666667	1.684975
18	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.212772
19	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.587036
20	VisualCatch	0.5	0.35	1.625	0.5	2.666667	null
21	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.6269608
22	Tactile	0.5	0.35	1.625	0.5	2.666667	1.991768
23	VisualCatch	0.5	0.35	1.3	0.5	2.666666	null
24	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.92028
25	Tactile	0.5	0.35	1.625	0.5	2.666667	2.046852
26	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.362984
27	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.934334
28	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.239555
29	Tactile	0.5	0.35	1.3	0.5	2.666667	1.642387
30	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	1.044716
31	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	0.9324036
32	Visual	0.5	0.35	0.325	0.5	2.666667	null
