TrialCount	TrialType	ItiDuration	TactorDuration	TactorDelay	ResponseMaxDuration	StimMovementDuration	RT
1	VisualCatch	0.5	0.35	0.975	0.5	2.666667	null
2	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.214972
3	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.642909
4	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.544597
5	Tactile	0.5	0.35	1.625	0.5	2.666667	1.920988
6	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.906084
7	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	0.9184303
8	VisualCatch	0.5	0.35	1.625	0.5	2.666667	null
9	Tactile	0.5	0.35	1.95	0.5	2.666667	2.49247
10	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	1.251789
11	Tactile	0.5	0.35	0.325	0.5	2.666667	0.7513084
12	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.572544
13	Visual	0.5	0.35	0.975	0.5	2.666667	null
14	VisualCatch	0.5	0.35	0.325	0.5	2.666667	null
15	Tactile	0.5	0.35	0.65	0.5	2.666667	1.002384
16	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	0.9463463
17	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.60107
18	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.253597
19	VisualCatch	0.5	0.35	0.65	0.5	2.666667	null
20	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.628838
21	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.921341
22	VisualCatch	0.5	0.35	0.65	0.5	2.666667	null
23	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	0.9329987
24	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.906342
25	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.450111
26	Tactile	0.5	0.35	0.65	0.5	2.666667	0.9466629
27	VisualCatch	0.5	0.35	0.325	0.5	2.666667	null
28	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.615273
29	Visual	0.5	0.35	1.3	0.5	2.666667	null
30	Tactile	0.5	0.35	0.325	0.5	2.666667	0.6130981
31	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	1.085449
32	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.3778
33	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.6673965
34	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.254639
35	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.8766632
36	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.380211
37	VisualCatch	0.5	0.35	1.625	0.5	2.666667	null
38	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	1.071396
39	Tactile	0.5	0.35	0.65	0.5	2.666667	1.489716
40	Visual	0.5	0.35	0.65	0.5	2.666667	null
41	Tactile	0.5	0.35	0.325	0.5	2.666667	0.7105865
42	Tactile	0.5	0.35	0.65	0.5	2.666667	0.9884796
