TrialCount,TrialType,ItiDuration,TactorDuration,TactorDelay,ResponseMaxDuration,StimMovementDuration,RT
92,VisualCatch,0.5,0.35,1.625,0.5,2.666667,null
93,Tactile,0.5,0.35,0.975,0.5,2.666667,1.280914
94,Tactile,0.5,0.35,1.625,0.5,2.666667,2.102478
95,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.559113
96,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.892792
97,VisuoTactile,0.5,0.35,0.975,0.5,2.666667,1.279877
98,VisuoTactile,0.5,0.35,0.975,0.5,2.666667,1.266785
99,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,0.8914185
100,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.921326
101,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.57312
102,Visual,0.5,0.35,1.95,0.5,2.666667,null
103,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.558655
104,Visual,0.5,0.35,1.95,0.5,2.666667,null
105,Visual,0.5,0.35,1.3,0.5,2.666667,null
106,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.213226
107,VisualCatch,0.5,0.35,1.95,0.5,2.666667,null
108,VisuoTactile,0.5,0.35,0.975,0.5,2.666667,1.266907
109,VisuoTactile,0.5,0.35,0.975,0.5,2.666667,1.280182
110,Visual,0.5,0.35,0.975,0.5,2.666667,null
111,Visual,0.5,0.35,1.625,0.5,2.666667,null
112,VisuoTactile,0.5,0.35,0.325,0.5,2.666667,0.6132813
113,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.614594
114,Tactile,0.5,0.35,0.325,0.5,2.666667,0.7936096
115,VisualCatch,0.5,0.35,0.975,0.5,2.666667,null
116,Tactile,0.5,0.35,1.625,0.5,2.666667,2.018738
117,VisuoTactile,0.5,0.35,0.975,0.5,2.666667,1.36438
118,VisuoTactile,0.5,0.35,0.975,0.5,2.666667,1.25235
119,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,0.933136
120,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.907867
121,Tactile,0.5,0.35,1.625,0.5,2.666667,1.934601
122,Tactile,0.5,0.35,0.65,0.5,2.666667,1.26712
123,Tactile,0.5,0.35,0.65,0.5,2.666667,1.225616
124,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.559204
125,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.55896
126,Visual,0.5,0.35,0.975,0.5,2.666667,null
127,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.628967
128,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.558899
129,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.586121
130,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.226654
131,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.199463
132,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.879028
133,VisuoTactile,0.5,0.35,0.975,0.5,2.666667,1.266846
134,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.199097
135,VisualCatch,0.5,0.35,1.625,0.5,2.666667,null
136,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.892822
